track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.47,173.04747,-28.668266,23.992476,7.431228,2.7491255,7.0604906,-0.6822718,-1.9991578,4.9234385,8.270554,3.447569,-7.243141,81.67611,38.168453,14.800369,11.547727,12.826583,5.198389,6.968819,5.202669,4.120317,6.551257,3.9117336,5.77237,6.020085,0.1088947,0.17612563,0.8129376,0.1026705,0.28535494,0.46003813,0.1464902,0.08904673,0.14754872,0.5654146,0.06675229,0.07661384,0.048237916,0.10055176,0.24914591,0.117685355,0.32211643,0.38514483,0.062036138,0.054600276,0.06032229,0.18840665,0.033758536,0.037118327
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.69514,184.41852,-25.657866,20.291952,8.225698,3.1707458,4.0519795,-3.7803998,0.8752329,8.122023,4.104809,-2.979996,-8.783708,60.805344,21.696749,15.190453,8.803339,12.203253,5.5609374,6.2384777,5.926864,5.5982633,4.172632,3.4552302,5.937297,5.2212653,0.11231574,0.16027682,0.8200239,0.10669044,0.08198921,0.35930008,0.15085518,0.4377586,0.14160278,0.6116887,0.07785773,0.082511514,0.05996971,0.107199095,0.2655203,0.12757689,0.08702968,0.33633712,0.06654718,0.37450165,0.08245525,0.21093537,0.05851535,0.046767995
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-83.88722,173.37413,-69.40668,64.12876,0.75807256,6.927253,10.515208,5.201802,1.2825884,-4.063272,-0.4171301,4.4511895,-0.021572767,45.55089,22.00774,23.744873,18.588425,9.160367,7.2467613,8.48673,7.2572327,6.9527926,7.308639,4.918357,5.8694463,4.5459933,0.21538186,0.3633758,0.96894836,0.26114997,0.34682268,0.33207598,0.19697256,0.20725136,0.20254798,0.7022354,0.18153065,0.19596633,0.11248105,0.12924355,0.09813484,0.1355376,0.1884566,0.18775162,0.12598133,0.18725178,0.12476911,0.15239586,0.124775544,0.10418781
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-78.991356,163.28683,-55.634766,54.254868,5.3726788,2.0888648,6.5766177,0.13011886,-2.8469253,-10.009856,-2.5251913,-3.2221408,-6.451613,42.297783,24.421242,23.05811,17.47525,12.912336,6.903598,9.933812,6.093252,6.2335324,5.8801546,5.849639,6.7905726,5.4354067,0.1537971,0.17836061,0.97492486,0.21019728,0.15688714,0.22455667,0.16593955,0.44455367,0.25657153,0.45098296,0.33383226,0.17609492,0.08779904,0.130824,0.11352066,0.10867537,0.07962073,0.13052006,0.07782069,0.22612691,0.13407159,0.19698092,0.11560097,0.06873296
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,-71.626015,169.40077,-73.68279,72.41459,-4.4039583,8.578365,7.589899,7.4887676,1.8911625,-4.0485353,0.9634201,5.0000386,2.6154935,25.896734,13.900879,13.42394,10.86063,8.388051,7.3876166,7.4781775,5.376873,5.6460557,6.1601787,5.526516,5.9545236,4.943269,0.19537432,0.3160105,0.9048102,0.29444018,0.394972,0.34594774,0.20576657,0.19737726,0.22424564,0.706136,0.2086379,0.18888897,0.10032902,0.09777373,0.15737592,0.19896698,0.21932763,0.1782937,0.16083251,0.14401509,0.12264738,0.21015541,0.1229707,0.15491752
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-88.675835,155.61826,-48.830086,52.460205,7.4285064,2.3090925,4.403735,6.217592,-1.2006408,-7.309729,-5.7172766,-4.1266136,-7.0991635,38.958565,25.549402,29.579153,18.669132,11.461761,8.521508,8.204259,5.512502,4.777313,5.514481,6.8281603,9.153543,6.598554,0.13092414,0.1508567,0.8967819,0.17925465,0.14143817,0.21817173,0.17426768,0.4954577,0.23859702,0.49335903,0.36311844,0.15922812,0.069433615,0.087506264,0.21699771,0.10134239,0.12823261,0.14191297,0.10396155,0.27830216,0.17908867,0.23727676,0.1742802,0.068119176
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-238.48543,199.62466,-18.268965,23.68594,38.224976,10.676899,2.436169,4.886772,-5.3020735,-11.440695,-2.7837884,-0.06350955,-10.808472,72.783264,28.154882,21.883944,11.723492,14.044515,7.154493,5.9809375,4.618832,6.7716165,6.5882235,4.79399,4.7933164,3.9368198,0.07739086,0.09146882,0.95143706,0.10306299,0.13616057,0.17065014,0.09789895,0.37660345,0.10707777,0.6916097,0.08015814,0.06916966,0.07107095,0.08442212,0.12370721,0.12693217,0.18218961,0.14936052,0.12312368,0.22470744,0.09094587,0.17889357,0.094048865,0.08084597
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-392.4486,193.93741,-63.846855,25.062323,30.86234,-0.6753175,-7.501228,-5.5343027,-9.759197,-24.598005,-20.954647,-13.901656,-10.086334,45.947983,11.448637,23.088856,16.41263,8.915057,8.138713,6.4566736,5.808182,5.9562325,5.5302305,7.849066,6.2530866,7.1397495,0.58599055,0.10335895,0.19187133,0.07433965,0.48737898,0.088153094,0.06294865,0.13037513,0.18044426,0.970293,0.13222636,0.14442104,0.3563185,0.05083831,0.15625885,0.056187842,0.23953357,0.06519436,0.041851178,0.1053747,0.14177693,0.0651865,0.09749809,0.07719482
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-403.5827,187.55624,-74.70653,25.33715,28.783878,6.768865,-11.217247,-7.8457937,-10.489435,-21.698458,-17.774889,-15.605321,-18.343714,42.003574,17.13276,22.036863,13.653359,9.533517,7.270034,7.081689,7.201852,8.05022,7.1192374,5.7364736,5.0714345,6.1313043,0.10479361,0.12346777,0.7416455,0.09110335,0.10987315,0.1767309,0.18165022,0.7922728,0.17805402,0.31691343,0.3998325,0.2063489,0.06272358,0.08706807,0.2850255,0.07473953,0.07917801,0.13396104,0.08529449,0.23291464,0.16792311,0.16056648,0.28375098,0.074209996
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-388.52362,180.8796,-76.39561,27.63308,32.08332,1.8194251,-8.47507,-13.170514,-21.40352,-30.69109,-10.691309,-3.929318,-20.04743,39.772514,14.715362,19.50373,12.576614,11.870296,7.5186515,7.5607014,4.947515,7.2493825,7.2870407,6.351939,4.5556154,6.226815,0.08885502,0.08942065,0.58607394,0.12139987,0.09294113,0.6818359,0.08389513,0.08628478,0.1148231,0.8783285,0.11858595,0.07553841,0.03528581,0.05099488,0.26205638,0.06406748,0.045094393,0.2569906,0.05553574,0.051199492,0.08312543,0.21252857,0.08845014,0.043146387
