track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,0.108908966,0.17614965,0.8125639,0.102666855,0.28549427,0.46001798,0.14609069,0.08891431,0.14738616,0.5645405,0.066816606,0.07661293,0.048273925,0.10064043,0.2494528,0.1176325,0.32222018,0.38521641,0.06206832,0.054598708,0.060248688,0.18845972,0.03377091,0.03712979
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,0.111229666,0.18390767,0.8149191,0.103423126,0.08325478,0.36620763,0.14717999,0.4436579,0.15401548,0.6074544,0.07849916,0.08384515,0.060979273,0.10817706,0.2689195,0.12416824,0.08721719,0.33775005,0.06907599,0.37381852,0.08349555,0.21456482,0.055981714,0.046632264
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,0.19746125,0.24793606,0.503788,0.21279258,0.5907061,0.62286425,0.26334614,0.30764937,0.20996383,0.30462965,0.1655921,0.19912939,0.13701369,0.17751306,0.34787434,0.15821663,0.29522192,0.35681275,0.16343671,0.26588768,0.16126399,0.1608253,0.11573736,0.1268459
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,0.22578774,0.23358561,0.752552,0.23212813,0.27194673,0.4930538,0.2635378,0.5806778,0.24163148,0.35613662,0.32884824,0.24645837,0.11384482,0.10866852,0.2970347,0.11910854,0.16954845,0.31206897,0.11062517,0.30867195,0.11604142,0.22952296,0.20464636,0.12420686
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,0.13659555,0.23068766,0.7127876,0.2044214,0.51629853,0.45799696,0.17620346,0.16011336,0.15651597,0.4455954,0.131547,0.12841448,0.06437168,0.10939435,0.32772556,0.12098705,0.36225688,0.35929945,0.080419645,0.06977265,0.07917147,0.23280504,0.05634795,0.053301997
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,0.17552397,0.22982997,0.8650654,0.20539077,0.18015003,0.37364566,0.1737442,0.41909617,0.15903375,0.41466668,0.30427483,0.17738856,0.13043319,0.12264114,0.26880628,0.1301361,0.113808356,0.31353024,0.09680232,0.34121543,0.074477024,0.2296946,0.21289992,0.10981057
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,0.23258789,0.30279985,0.9662723,0.21326865,0.2343049,0.24133578,0.23687765,0.32018906,0.19222127,0.6905735,0.17441727,0.19640525,0.11237786,0.14453465,0.086253226,0.09696406,0.09616491,0.11351217,0.15928611,0.17337373,0.10776209,0.1800375,0.11961869,0.08514048
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,0.58452064,0.5266467,0.7401442,0.4787853,0.5652028,0.49775,0.4199444,0.4357055,0.48107207,0.75296056,0.3943946,0.3783774,0.2289223,0.21126272,0.27659804,0.17599197,0.20693584,0.2502918,0.1450349,0.1027907,0.21163455,0.24998248,0.15783358,0.13325526
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,0.36790583,0.4389632,0.4856151,0.35644594,0.3554995,0.4377473,0.46802026,0.6790622,0.53600436,0.70316523,0.7819187,0.53813744,0.15718666,0.15343122,0.17452385,0.12750666,0.118275516,0.16027792,0.19815932,0.2538331,0.15528138,0.21971738,0.26432738,0.20049573
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,0.52739865,0.600921,0.67538977,0.51728475,0.5880724,0.81572205,0.50363016,0.5154033,0.6988965,0.89656436,0.5857624,0.4359385,0.1535964,0.18434115,0.17660484,0.12227399,0.1608103,0.16772,0.12815344,0.1341446,0.21368757,0.1328038,0.1773469,0.115874715
